2270-2-8-3,7458-63-83-18
1622-87-29-13,5987-16-80-22
6088-77-78-7,5348-19-34-48
6796-25-30-15,8388-50-14-79
2691-92-71-55,404-32-63-88
2719-1-37-87,6183-78-52-42
3370-62-69-71,9704-91-50-91
4542-16-9-88,1007-40-72-13
7317-30-9-10,3199-95-2-97
8554-49-33-94,1882-62-52-72
1070-66-31-68,4753-12-52-24
5884-25-26-78,2101-41-13-51
9313-29-20-16,3130-89-40-94
9975-60-14-44,241-38-99-41
9801-15-75-18,9100-67-68-45
8445-75-49-74,8837-86-66-67
2194-2-23-22,5014-35-6-54
4284-56-86-28,9189-32-66-66
7318-18-5-70,7595-28-14-5
7286-73-52-66,5600-10-74-70
185-94-55-76,3216-97-61-5
5065-23-19-21,2010-4-32-59
926-35-61-14,7027-38-38-22
799-98-69-95,4806-39-9-23
1964-64-59-96,2853-12-62-80
6324-58-22-44,9074-50-86-53
5838-92-68-43,6221-36-75-80
8601-49-80-81,1520-5-58-41
5415-96-35-82,6083-40-78-17
5347-65-32-79,7061-48-70-28
9430-3-65-72,6715-29-19-45
4450-30-16-21,2060-19-73-70
2800-69-78-84,7080-10-66-62
3987-99-57-4,249-92-29-8
5505-48-52-31,5573-22-86-59
1545-13-97-69,6875-11-73-76
9538-75-80-86,187-18-4-88
3928-93-65-38,4384-68-27-89
7806-74-19-67,3316-84-83-41
2879-14-89-67,3744-87-26-53
3718-75-15-97,6529-77-86-27
2668-2-82-16,8167-29-36-99
8596-48-14-13,6020-5-61-98
4040-77-26-99,8054-67-65-63
1905-96-22-3,7473-59-68-56
364-62-38-44,6676-42-13-60
159-10-53-20,7943-17-53-29
5756-48-35-77,8888-32-3-72
979-2-43-52,7895-39-27-63
1807-67-69-1,6055-16-17-1
750-33-68-57,9961-6-72-58
2024-71-44-69,2549-19-70-7
6187-20-85-25,590-1-41-82
5921-69-24-71,4638-24-78-55
2296-81-53-16,7160-55-96-43
5158-64-56-10,6056-62-50-28
1907-10-58-7,2418-28-7-23
3427-99-14-97,8113-67-69-56
6900-84-62-14,9445-16-80-46
9632-40-1-42,343-92-66-49
8193-4-79-3,3895-17-63-51
4293-19-84-3,1755-16-92-72
8316-49-12-75,6159-17-76-60
8566-68-66-15,826-33-47-43
6921-26-88-53,844-28-12-20
2444-9-1-94,7573-21-3-99
492-77-51-37,6531-30-29-98
2309-45-45-38,9836-77-34-87
9492-55-96-13,5954-10-80-95
7483-43-7-82,9312-1-97-76
6083-25-62-86,3260-5-93-27
2179-78-85-98,240-66-2-86
3280-5-37-27,4930-57-90-88
4443-88-90-51,9327-41-7-99
4963-49-15-17,4064-13-63-93
4519-98-3-47,1721-76-30-30
5215-93-82-38,1789-1-92-73
7897-66-38-64,1774-47-74-36
3365-39-39-30,1898-80-37-66
4124-5-29-21,2950-55-17-19
733-65-66-88,4746-16-76-67
9893-49-33-35,4791-68-35-51
9690-50-34-85,9866-27-40-58
7421-79-75-27,9592-19-72-23
2810-38-94-65,6089-73-55-14
2964-1-89-19,9952-68-66-29
5271-78-29-44,3566-49-5-59
7900-19-76-44,4847-8-97-96
4433-29-51-10,6946-81-44-8
5383-1-58-31,2480-40-62-41
9804-89-86-95,2668-25-25-55
9564-57-5-70,3218-27-62-3
9031-35-32-72,4958-29-84-11
8778-93-13-65,6538-73-43-46
3294-94-37-62,523-27-54-65
9283-86-70-92,8951-43-14-42
3884-56-2-68,2449-79-14-68
9670-91-74-51,2682-35-17-75
3507-26-67-12,2450-74-7-86
3568-63-35-76,952-90-79-5
2358-23-66-74,526-98-95-95
494-21-80-25,247-55-81-98
8217-15-64-2,3609-59-43-78
5704-44-72-23,5967-23-91-51
1072-49-53-77,8773-35-98-70
4154-80-54-22,6090-10-6-15
531-4-78-25,4701-94-15-74
3867-44-28-33,3638-17-83-23
6977-44-17-36,8670-83-31-99
1394-48-29-25,7870-25-83-25
9922-68-65-98,4305-25-92-76
6002-50-91-24,447-46-15-36
3262-21-10-20,9065-50-19-4
5862-70-66-96,6226-42-51-30
2322-54-61-77,2943-44-31-98
9417-86-41-40,6184-53-84-82
7808-13-90-19,8985-93-9-94
464-30-42-70,3016-73-50-39
5353-4-32-74,517-90-80-46
474-70-33-14,903-22-28-14
9623-42-99-66,7497-17-6-82
187-93-30-92,8552-69-45-88
6799-44-81-8,6883-58-8-50
303-81-35-22,3396-26-27-87
3422-26-22-71,5992-18-21-98
4976-76-91-42,7154-74-24-66
2671-4-23-87,4159-45-92-44
4498-8-44-52,5884-88-5-80
8010-63-31-94,7678-91-25-11
6307-90-55-7,3395-82-70-89
7596-13-98-62,6185-38-8-10
7018-10-62-1,9128-58-23-40
4973-46-9-84,6418-33-20-1
9027-75-78-41,9340-79-52-48
7065-69-10-97,363-52-92-62
7611-52-64-81,4344-15-3-14
8410-44-34-17,1128-62-31-22
8021-98-23-48,6157-65-58-52
7952-31-54-36,6493-49-54-88
7091-94-39-8,6777-94-27-67
107-84-20-1,8773-60-51-52
4523-89-91-30,9965-72-99-2
2168-8-76-28,7386-29-81-58
9888-75-63-57,7265-99-29-89
8010-20-4-41,7511-23-93-52
1099-87-57-85,9625-66-75-97
3829-37-94-22,9093-12-60-72
8368-63-3-14,9259-55-20-61
2525-61-49-50,5227-94-60-21
8678-29-21-33,7448-34-71-22
1842-70-69-27,2792-43-70-10
6962-77-99-39,7400-68-89-36
4234-54-56-66,9789-24-36-84
5640-86-71-75,188-53-45-64
9359-87-93-49,9940-36-67-61
6787-58-49-56,1490-98-61-22
8200-53-1-89,84-98-65-88
6524-14-75-47,5793-76-74-83
3227-78-56-41,9405-43-60-3
8687-5-64-44,5675-97-44-70
8974-23-46-32,2356-32-27-65
5418-5-93-22,4588-16-34-4
1237-37-19-30,1155-70-67-46
8261-83-2-46,2371-71-53-78
2987-3-77-14,4750-72-76-9
5592-18-48-29,6448-59-95-32
9707-35-7-11,9396-30-23-79
1227-23-66-50,6129-55-45-78
5005-62-85-33,691-35-88-35
4608-64-24-62,2637-53-44-90
9571-68-44-93,1289-27-4-58
9396-35-70-69,4975-28-43-89
7108-23-96-40,9517-19-92-58
9626-62-70-10,3746-22-49-51
5312-36-54-7,8099-73-81-15
4389-31-65-68,3338-36-20-86
7639-83-86-1,9725-69-94-12
1414-16-60-72,1403-21-94-94
140-82-12-83,4738-57-49-3
1141-29-59-3,2695-35-2-37
3432-39-15-54,8764-88-52-50
1795-66-71-45,3843-70-78-9
4535-79-64-84,9075-37-29-21
7805-67-11-15,6331-62-57-84
160-44-90-7,6120-27-48-22
5282-78-69-77,729-3-57-43
7293-74-17-69,2358-66-8-3
9446-5-1-20,2498-46-45-38
7286-9-36-89,6825-84-46-80
5347-49-32-81,1760-99-48-1
4584-84-19-43,4266-53-94-33
3528-98-24-23,3886-24-89-46
5055-24-47-49,8672-61-52-33
1051-36-43-72,4996-61-49-87
7485-72-35-64,9391-44-44-30
3217-91-3-35,798-82-92-59
4701-21-43-11,9296-60-30-73
2317-25-94-69,8562-75-62-72
2403-60-11-80,2416-73-17-36
6801-11-94-6,2480-18-29-79
5871-48-53-90,2090-21-85-8
888-63-58-4,2520-7-40-5
7283-48-58-4,2552-36-88-18
6456-25-41-82,6504-33-86-59
3222-97-36-48,843-75-6-42
6495-26-12-43,1692-64-92-69
2774-68-58-27,789-7-58-50
5436-97-82-30,4394-99-69-38
6165-33-24-73,1882-62-68-61
1281-95-10-12,6382-19-6-47
9035-81-59-42,7247-93-55-74
7033-32-43-16,7266-53-20-7
6709-50-63-46,3464-95-40-67
3704-81-58-25,7341-82-69-17
5702-92-41-38,4328-42-93-32
2701-69-12-16,1474-63-16-81
1588-25-25-1,1248-97-70-7
6240-64-59-66,1879-13-86-88
6462-51-5-1,1313-73-35-30
3491-53-10-24,8680-84-45-54
2919-81-81-94,9379-69-53-7
1901-90-3-42,9869-79-92-50
6679-42-35-86,6441-53-88-31
7505-30-97-81,5535-57-84-2
96-42-37-42,7852-39-78-8
607-5-46-49,3860-5-4-19
7630-1-37-68,6551-86-23-14
9661-92-32-50,6140-69-25-64
6300-45-96-45,1746-67-82-93
8369-46-65-33,873-57-47-52
8032-78-16-67,2865-18-62-6
6266-98-51-41,1156-74-62-49
4085-6-62-40,4533-63-65-40
5907-78-74-35,9771-21-19-11
5277-14-20-90,6022-99-67-99
712-22-60-79,1453-49-4-96
9351-40-28-68,1484-83-87-47
1988-79-2-15,1022-37-43-44
2924-88-82-4,6689-15-7-54
7569-49-52-74,7991-37-31-36
1542-13-94-52,9063-94-37-58
8870-64-95-87,3492-66-42-85
5743-6-85-41,2982-21-97-25
4461-36-2-55,8156-73-86-2
6201-33-87-81,2995-37-38-33
5043-21-13-23,8294-56-3-46
895-62-88-68,7170-35-54-40
3792-33-94-66,1820-88-65-26
485-65-24-4,8208-40-77-69
4152-14-57-92,2194-64-41-48
4855-87-71-1,1185-40-58-80
3024-1-19-78,2863-69-86-49
3462-48-71-11,6074-33-26-41
2198-41-91-81,2491-41-18-6
4368-2-96-1,5330-23-61-59
4949-62-84-56,1440-71-35-19
152-63-23-27,8065-32-37-84
3979-31-54-71,3942-99-71-65
5884-4-9-18,7879-26-12-82
7681-36-4-55,1421-8-11-41
2553-37-27-56,3227-73-36-55
8261-13-6-25,9540-75-13-90
1140-85-9-16,9871-18-34-5
5340-4-82-33,2985-28-32-77
2643-4-5-70,3076-76-37-48
1607-37-18-90,6270-88-31-18
9970-62-40-71,8367-20-80-72
2243-71-83-43,5517-59-25-65
426-69-66-12,5760-51-90-53
3374-92-90-48,6551-23-41-16
581-63-13-17,7467-88-75-16
4476-91-76-77,6912-44-90-96
6553-68-55-14,8075-18-75-12
6996-58-92-25,3776-45-95-96
5813-40-86-77,4544-6-52-33
3671-76-38-86,1391-82-19-96
8496-62-93-30,8170-31-91-79
3572-7-24-11,5372-28-98-77
4095-84-56-64,5262-84-24-66
7243-59-70-7,5528-51-32-54
5003-91-89-43,9003-76-72-6
8253-90-98-29,7218-14-67-64
7251-30-46-69,756-46-60-67
2949-27-12-20,2394-17-13-61
9854-53-50-41,6040-32-22-91
3833-89-34-2,7642-85-84-75
4313-8-50-57,9077-65-11-65
539-80-75-57,6509-31-33-53
8685-90-5-34,4999-46-93-44
486-29-18-32,363-76-72-19
1931-5-56-77,1009-56-74-58
7365-25-32-26,7645-86-79-90
9733-43-40-17,5763-6-48-67
6773-40-62-82,1061-48-96-1
7275-66-89-58,9594-97-11-87
3602-74-48-89,9259-45-3-37
770-88-75-13,2539-5-82-64
7964-87-8-94,3648-5-27-2
3101-96-43-32,3158-96-88-63
532-8-51-78,5807-77-13-45
1712-11-65-91,4394-76-58-9
5311-75-85-78,2453-38-96-81
1096-62-80-35,6003-26-73-4
7579-22-78-59,7206-55-23-22
301-90-82-56,2070-1-78-42
9155-67-33-24,4386-19-81-55
4576-63-9-96,9994-33-45-58
134-93-98-48,1461-38-56-61
1594-60-27-69,6689-34-29-42
1670-17-99-70,7046-73-88-79
3498-5-87-34,3824-71-18-49
4514-88-69-51,5666-18-28-93
3814-4-41-63,9776-63-98-91
7024-12-2-69,9352-80-2-39
7552-85-13-21,2159-36-75-40
2284-40-91-76,1857-9-71-75
3808-68-91-76,4858-80-11-97
8800-83-60-15,5288-33-48-45
8614-5-15-66,7537-11-21-97
315-79-29-24,2014-61-17-14
6447-29-54-19,1219-78-90-4
9895-92-7-31,861-42-77-15
2011-37-26-68,3639-13-83-61
1778-2-44-75,9552-95-23-35
1913-53-31-30,6875-44-74-43
6010-84-24-56,2346-69-13-42
4734-46-42-72,3864-75-72-47
326-98-53-79,6097-57-48-38
7671-58-2-10,1951-95-60-1
7620-28-90-17,8812-98-52-84
1629-89-90-67,722-92-38-21
7808-62-97-86,4061-7-36-31
6804-36-34-13,2146-74-57-43
50-46-46-7,9920-70-83-74
185-26-33-48,9422-44-82-71
7048-99-97-36,8425-18-26-6
4585-10-14-67,6209-86-57-48
827-78-20-24,6926-96-83-43
5562-37-31-81,3900-95-93-69
4869-93-88-52,6534-80-76-48
6555-78-23-79,4057-62-81-42
6063-96-64-15,2249-26-71-41
6125-90-79-10,9487-96-79-18
975-37-29-31,2290-31-7-28
1191-6-49-93,825-9-46-69
8371-19-99-7,7338-67-95-67
2940-30-98-63,3878-93-91-29
5198-49-24-72,7928-16-66-33
1704-5-30-45,3068-94-79-53
5584-13-98-32,1477-54-62-11
5099-39-81-16,4304-39-83-18
9581-43-64-94,6524-69-61-56
8193-9-57-91,8453-85-16-85
5454-26-94-7,6836-71-91-44
3868-17-29-36,7515-23-53-7
6956-54-12-31,3893-20-61-68
9770-52-50-91,6611-54-51-68
4113-94-63-16,8052-45-79-85
6033-31-5-80,3344-60-50-58
2682-77-82-43,3872-55-13-41
286-75-41-61,5336-30-74-36
1418-28-33-78,8443-37-27-56
6431-26-83-21,2077-40-73-6
3508-53-82-82,268-75-29-51
8233-99-26-22,1919-7-35-42
811-90-10-33,7488-57-92-5
7726-94-52-93,7682-70-13-69
89-86-50-46,2184-62-5-46
9839-52-66-20,8853-95-44-70
1844-25-82-5,9011-55-33-90
6557-42-65-35,6804-7-28-18
272-96-38-92,2457-32-88-97
5022-7-91-4,5588-72-80-90
3832-69-82-64,6013-1-93-68
4283-98-98-72,6720-42-29-73
5475-59-99-12,4067-3-2-18
451-17-65-98,7668-93-80-61
9902-93-55-63,1083-67-16-40
6094-35-40-80,8043-15-88-15
2109-41-25-94,7183-50-58-12
6084-62-63-27,1492-63-33-50
2594-22-30-38,6121-48-33-70
4023-37-67-79,6336-17-68-55
8667-94-38-47,3070-22-1-60
5797-44-46-37,4934-11-93-21
396-60-39-69,4007-2-19-49
1112-45-42-83,5993-22-47-80
8653-23-41-77,2689-99-42-32
9759-70-60-88,488-36-48-11
3273-73-99-88,6384-74-68-47
5436-13-18-53,2995-66-79-87
1609-52-82-53,1376-63-42-14
3859-54-38-39,9240-13-38-40
9286-17-50-30,1074-13-2-20
1086-28-65-7,2582-98-11-95
6189-87-82-24,7357-7-86-75
1276-80-87-86,6659-74-92-17
398-68-58-33,1461-33-72-56
4548-3-98-87,437-82-43-70
2600-43-86-53,7964-55-51-63
1010-85-10-84,7041-53-55-33
3344-29-85-28,1308-58-18-19
6660-2-7-21,1972-99-7-40
3681-14-88-46,5817-19-69-31
5556-72-71-81,1823-87-53-56
6900-98-56-13,654-8-96-62
9329-50-39-65,5913-7-75-50
1779-65-34-66,8923-29-68-34
3877-90-23-10,5355-21-8-68
8032-89-53-38,1265-68-42-42
4083-5-75-1,2860-71-33-83
576-92-17-7,7433-55-1-34
6840-96-24-29,1929-5-41-7
2934-82-26-11,3882-2-73-3
8535-91-5-26,3391-15-89-80
7839-69-26-17,79-90-15-66
9263-97-43-81,8696-57-64-45
4303-16-85-91,2575-41-74-94
225-79-51-56,4190-69-25-95
265-2-79-85,7275-45-13-44
727-97-96-10,6475-99-33-20
9246-66-58-3,9592-41-9-26
5287-95-97-58,9506-3-92-65
9938-97-66-8,6342-75-18-88
3981-26-36-65,1014-59-80-26
2478-81-69-55,2723-5-77-30
5923-28-2-4,2727-99-8-72
7819-55-40-29,4277-8-4-47
7333-88-23-17,8599-36-11-93
4062-19-54-16,3710-1-86-24
8182-2-89-70,877-78-97-24
503-48-5-35,8541-81-81-3
5752-77-5-61,8097-21-88-60
267-48-94-92,1622-6-3-27
7569-96-1-78,8454-11-75-94
4202-81-62-32,5135-79-95-19
608-27-61-50,8906-78-43-81
6668-93-69-67,3256-95-6-30
7571-34-93-61,4825-74-19-18
2516-93-47-53,2619-56-66-93
8513-74-87-34,7110-58-6-51
7799-70-58-77,371-87-93-79
654-63-20-85,3090-89-26-99
5162-58-89-35,7502-85-92-85
3970-30-48-14,9659-79-82-33
422-6-6-78,2584-10-37-20
5991-53-29-90,9487-14-96-53
9133-89-97-79,3595-36-10-95
8158-12-94-39,5582-63-13-38
443-72-64-83,4750-73-82-17
8581-78-51-30,628-65-91-89
2645-86-30-70,3015-64-66-48
4512-3-7-24,2998-67-57-20
5167-15-31-48,3779-51-51-19
484-49-89-68,2072-5-76-43
8546-63-85-84,9487-72-65-3
8481-33-40-49,878-37-28-46
3964-11-19-99,1627-23-79-20
4847-53-63-66,2768-33-14-69
8218-50-8-15,6184-44-89-47
750-93-61-78,8044-46-88-20
8768-47-70-81,8215-96-10-14
2156-32-68-41,2188-2-98-99
8186-63-32-16,6706-43-64-67
9366-83-17-54,745-98-53-27
2564-43-27-5,1759-7-45-10
2074-42-14-1,1678-6-42-95
2481-36-30-4,8289-57-45-25
298-10-27-6,5014-93-80-90
3231-76-27-31,5732-94-92-45
4889-31-65-80,8951-8-92-77
1294-58-83-80,8290-16-80-97
4370-93-84-79,4529-2-15-76
9196-60-82-15,2474-43-48-90
8064-79-82-5,6607-45-24-42
3134-31-7-17,2142-53-41-56
9114-57-21-10,9077-25-77-15
9183-93-70-92,8856-71-44-32
7383-92-4-90,1514-11-77-38
4153-85-24-60,3343-77-97-71
232-23-41-73,9396-67-26-82
2179-7-54-96,6178-95-88-22
6429-86-37-91,4966-2-37-37
5543-41-57-61,297-36-56-72
9103-2-95-41,5357-33-47-93
2937-15-51-15,3927-74-42-70
7042-61-12-39,1108-10-3-9
9005-15-62-40,6464-99-39-22
5988-94-16-13,9733-95-57-99
8466-71-8-54,8733-12-66-89
7601-50-92-51,2565-78-95-65
8396-20-33-79,3524-43-20-82
8313-93-45-49,852-39-22-4
3304-43-69-44,1536-10-70-77
2319-40-67-76,2545-30-67-28
8191-77-40-82,5265-95-12-80
3374-80-52-80,4755-14-76-74
9898-23-28-16,4859-47-67-17
5811-1-57-9,8876-17-95-17
4406-16-15-53,1809-16-66-7
531-41-2-79,1270-11-36-23
5840-66-46-99,9442-76-48-50
9699-73-18-40,4838-98-4-89
3865-9-32-74,9009-82-83-38
2836-31-74-14,5101-35-21-17
7175-42-90-55,9834-1-17-84
1468-44-24-39,1803-46-80-54
5168-12-28-25,4231-33-35-4
9182-62-54-23,817-12-55-4
5922-71-9-35,5391-24-41-7
9656-90-73-68,461-22-2-14
3205-36-79-30,2361-97-29-30
515-80-92-5,499-59-66-7
2391-39-85-47,390-52-78-69
5457-86-34-27,3795-88-14-18
5494-12-79-99,9593-21-16-38
7648-77-89-12,9262-7-30-35
2706-78-93-3,441-51-91-81
7585-18-27-56,1672-8-76-38
9607-3-8-39,1939-8-54-33
